Model_Name,Parameters,Accuracy,Start_Time,End_Time,Execution Time,Hardware_Accelerator
Make_DTC,100000x1000,0.0,8848.006038122,8854.409580385,6.403542263000418,CPU
Pred1,defaults,0.9223,8860.881876699,9924.362173062,1063.4892624940003,CPU
Pred2,max_depth,0.9265,9924.369420111,9981.892828579,57.523408468001435,CPU
Pred3,criterion,0.92395,9981.899339999,10051.173955895,69.27461589599989,CPU
Pred4,min_samples_split,0.92395,10051.181201045,10120.092821287,68.91162024200094,CPU
Pred5,min_samples_leaf,0.92395,10120.099469459,10189.612862893,69.51339343399923,CPU
Pred6,min_impurity_decrease,0.92395,10189.623599338,10259.845329386,70.22173004800061,CPU
Pred7,splitter,0.494,10259.851350328,10261.826093056,1.9747427280017291,CPU
Pred8,max_features,0.494,10261.832725296,10262.16684596,0.3341206639997836,CPU
Total_Time,defaults,0.0,8860.872910568,10262.17406359,1401.301153022001,CPU
