Model_Name,Parameters,Accuracy,Start_Time,End_Time,Execution Time,Hardware_Accelerator
Make_DTC,100000x1000,0.0,951.614605636,956.617744439,5.00313880300007,v2_8_TPU
Pred1,defaults,0.92125,961.342790323,1780.231198723,818.892072537,v2_8_TPU
Pred2,max_depth,0.9265,1780.235226292,1822.625984949,42.39075865699988,v2_8_TPU
Pred3,criterion,0.92395,1822.632829883,1874.602697447,51.96986756399997,v2_8_TPU
Pred4,min_samples_split,0.92395,1874.607383639,1926.615454696,52.008071056999825,v2_8_TPU
Pred5,min_samples_leaf,0.92395,1926.619866668,1978.558182408,51.93831574000001,v2_8_TPU
Pred6,min_impurity_decrease,0.92395,1978.56253344,2030.527711469,51.96517802900007,v2_8_TPU
Pred7,splitter,0.90755,2030.532978387,2032.848345362,2.315366974999961,v2_8_TPU
Pred8,max_features,0.494,2032.853018838,2033.108935561,0.2559167229999275,v2_8_TPU
Total_Time,defaults,0.0,961.339126186,2033.113230491,1071.774104305,v2_8_TPU
